"continent","iso3c","country_region","province_state","ts","confirmed","deaths","recovered","who_region","who_region_code","world_bank_income_group","world_bank_income_group_code","world_bank_income_group_gni_reference_year","world_bank_income_group_release_date","lat","lon"
"Asia","AFG","Afghanistan",NA,2020-01-22,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-23,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-24,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-25,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-26,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-27,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-28,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-29,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-30,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-01-31,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-01,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-02,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-03,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-04,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-05,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-06,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-07,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-08,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-09,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
"Asia","AFG","Afghanistan",NA,2020-02-10,0,0,0,"Eastern Mediterranean","EMR","Low income","WB_LI","2017","2018",33,65
